Gary Cowling,{'The Sopranos': 'Nurse Bruce'}
Grace Van Patten,{'The Sopranos': 'Ally Pontecorvo'}
Maria Elena Ramirez,{'The Sopranos': 'Neighbor'}
Samuel Smith,{'The Sopranos': 'Orderly'}
Anthony Desio,{'The Sopranos': 'Jimmy La Manna'}
John Marinacci,{'The Sopranos': 'Dealer'}
Sam Semenza,{'The Sopranos': 'Carmine III'}
Carmine Mitore,"{'The Sopranos': ""Zi'Pepin""}"
Amy Kean,{'The Sopranos': 'Reporter #2'}
Madison Connolly,{'The Sopranos': 'Alyssa Giglione'}
Anthony Piccolo,{'The Sopranos': 'Stephane Giglione'}
John Wu,{'The Sopranos': 'Morgan Yam'}
David Copeland,{'The Sopranos': 'Joey Cogo'}
Edward Furs,{'The Sopranos': 'Driver'}
Lauren Toub,{'The Sopranos': 'Liz DiLiberto'}
Michael Squicciarini,{'The Sopranos': 'Big Frank'}
Joe Rosario,{'The Sopranos': 'Bouncer'}
David S. Lomax,{'The Sopranos': 'Laborer'}
Jay Boryea,{'The Sopranos': 'Bouncer'}
Jamie Sorrentini,{'The Sopranos': 'Mimi'}
Antoinette LaVecchia,{'The Sopranos': 'Paula Salerno'}
Ephraim Benton,{'The Sopranos': 'Saladin'}
Chazz Menendez,{'The Sopranos': 'Goon'}
Gina Lynn,{'The Sopranos': 'Stripper'}
Jeffery Keilholtz,{'The Sopranos': 'Guy #2'}
Todd Wall,"{'The Sopranos': ""Jackie Jr.'s Friend""}"
Maria Grazia Cucinotta,{'The Sopranos': 'Isabella'}
Michael Gaston,{'The Sopranos': 'Alex Mahaffey'}
Karen Sillas,{'The Sopranos': 'Debbie'}
Tony Ray Rossi,{'The Sopranos': 'Fred Peters'}
Bokeem Woodbine,{'The Sopranos': 'Massive Genius'}
Bill Cobbs,{'The Sopranos': 'Reverend James Sr.'}
Sam McMurray,{'The Sopranos': 'Dr. John Kennedy'}
Mark Blum,{'The Sopranos': 'Randall Curtin'}
Lisa Arning Mayer,"{'The Sopranos': ""Peters' Wife""}"
David Beach,{'The Sopranos': 'Dr. Peter Galani'}
Jon Favreau,{'The Sopranos': 'Jon Favreau'}
Ariel Kiley,{'The Sopranos': 'Tracee'}
Frank Wood,{'The Sopranos': 'Dean Ross'}
Elias Koteas,{'The Sopranos': 'Dominic Palladino'}
Bruce Altman,{'The Sopranos': 'Alan Sapinsly'}
Henry Yuk,{'The Sopranos': 'Sungyon Kim'}
Ken Leung,{'The Sopranos': 'Carter Chong'}
Robyn Peterson,{'The Sopranos': 'Bobbi Sanfillipo'}
Ross Gibby,{'The Sopranos': 'Bartender'}
Bryan Hicks,{'The Sopranos': 'Orange J'}
Paul Albe,{'The Sopranos': 'Contractor'}
Giancarlo 'John' Giunta,{'The Sopranos': 'Kevin Bompensiero'}
Alton Clinton,{'The Sopranos': 'MRI Technician'}
Sandra Bernhard,{'The Sopranos': 'Gina'}
Shaun Toub,{'The Sopranos': 'Arouk Abboubi'}
Sully Boyar,{'The Sopranos': 'Dr. Krakower'}
Linda Lavin,{'The Sopranos': 'Dr. Wendi Kobler'}
Jean-Hugues Anglade,{'The Sopranos': 'Jean-Philippe Colbert'}
Annette Bening,{'The Sopranos': 'Annette Bening'}
Hill Harper,"{'The Sopranos': 'Stokley Davenport, M.D.'}"
Nancy Sinatra,{'The Sopranos': 'Self'}
Kevin O'Rourke,{'The Sopranos': 'Coach Don Hauser'}
John Eddins,{'The Sopranos': 'John Clayborn'}
Nick Fowler,{'The Sopranos': 'Richie Santini'}
Mark Kamine,{'The Sopranos': 'Admissions Dean'}
Shirl Bernheim,{'The Sopranos': 'Pearl'}
Janeane Garofalo,{'The Sopranos': 'Janeane Garofalo'}
Burt Young,"{'The Sopranos': ""Bobby 'Bacala' Sr.""}"
Isaach De Bankolé,{'The Sopranos': 'Father Obosi'}
Vondie Curtis-Hall,{'The Sopranos': 'Maurice Tiffen'}
Tom Mason,{'The Sopranos': 'Lt. Barry Haydu'}
Ben Kingsley,{'The Sopranos': 'Ben Kingsley'}
Sheila Kelley,{'The Sopranos': 'Lee'}
Chuck Low,"{'The Sopranos': 'Shlomo Teittleman', 'Goodfellas': 'Morris Kessler'}"
Madeline Blue,{'The Sopranos': 'Janice'}
Gregg Wattenberg,{'The Sopranos': 'Vito'}
Debrah Ellen Waller,{'The Sopranos': 'Perrilyn'}
Touche,{'The Sopranos': 'Rasheen Ray'}
Michael Manetta,{'The Sopranos': 'Gas Station Attendant'}
Alicia Witt,{'The Sopranos': 'Amy Safir'}
Vittorio Duse,{'The Sopranos': 'Zi Vittorio'}
Liz Larsen,{'The Sopranos': 'Trish Reingold-Sapinsly'}
Judy Del Giudice,{'The Sopranos': 'Cousin Louise'}
Chris Diamantopoulos,{'The Sopranos': 'Jason Barone'}
Lauren Bacall,{'The Sopranos': 'Lauren Bacall'}
William Russ,{'The Sopranos': 'Paul Calviac'}
Sydney Pollack,{'The Sopranos': 'Warren Feldman'}
Nashawn Kearse,{'The Sopranos': 'Jameel'}
Mike Epps,{'The Sopranos': 'Jerome'}
Ned Eisenberg,{'The Sopranos': 'Ariel'}
Keith Nobbs,{'The Sopranos': 'Bowdoin Student'}
Bobby Boriello,{'The Sopranos': 'Young Tony'}
Sam Coppola,{'The Sopranos': 'Dr. Reis'}
Kareen Germain,{'The Sopranos': 'Nurse'}
Doug Barron,{'The Sopranos': 'Dr. Mop-N-Glo'}
Chris Gibson,{'The Sopranos': 'Bass Player'}
Linda Emond,{'The Sopranos': 'Dahlia'}
Diana Agostini,{'The Sopranos': 'Miriam'}
Benny Aguiar,{'The Sopranos': 'Jimmy'}
Cynthia Darlow,{'The Sopranos': 'Virginia Lupo'}
Polly Bergen,{'The Sopranos': 'Fran Felstein'}
Wilmer Valderrama,{'The Sopranos': 'Wilmer Valderrama'}
Anthony 'Treach' Criss,{'The Sopranos': 'Marvin'}
Sarah Shahi,{'The Sopranos': 'Sonya Aragon'}
Donna Pescow,{'The Sopranos': 'Donna Parisi'}
Elizabeth Sung,{'The Sopranos': 'Mrs. Chong'}
Brian Geraghty,{'The Sopranos': 'Counter Boy'}
Yancey Arias,{'The Sopranos': 'Arnaz'}
Scott Cumberbatch,{'The Sopranos': 'Rideland Kid #2'}
Luke Reilly,{'The Sopranos': 'Lon Le Doyenne'}
Veronica Bero,{'The Sopranos': 'Girl'}
Ned Stroh,{'The Sopranos': 'Drummer'}
Johnathan Mondel,{'The Sopranos': 'Boy'}
John Hensley,{'The Sopranos': 'Eric Scatino'}
Mike Memphis,{'The Sopranos': 'Jimmy Bones'}
Getchie Argetsinger,{'The Sopranos': 'Yoga Instructor'}
Crystal Fox,{'The Sopranos': 'Nurse'}
Lord Jamar,{'The Sopranos': 'Da Lux'}
Jenna Stern,{'The Sopranos': 'Dr. Doherty'}
Eric Mangini,{'The Sopranos': 'Eric Mangini'}
Sarah Thompson,{'The Sopranos': 'Lucinda'}
Jack O'Connell,{'The Sopranos': 'Vendor'}
Cara Jedell,{'The Sopranos': 'Ally Vandermeed'}
Tibor Feldman,{'The Sopranos': 'U.S. Attorney Braun'}
Bray Poor,{'The Sopranos': 'Squid'}
Anthony Fusco,{'The Sopranos': 'Father Hagy'}
Freddy Bastone,{'The Sopranos': 'Batman'}
Britt Burr,{'The Sopranos': 'Traffic Cop'}
Giuseppe Delipiano,{'The Sopranos': 'Restaurant Owner'}
Leslie Beatty,{'The Sopranos': 'Nancy'}
John Billeci,{'The Sopranos': 'Manager'}
Michael Cannis,{'The Sopranos': 'Detective #2'}
Arthur Barnes,{'The Sopranos': 'Security Guard'}
Erica Leerhsen,{'The Sopranos': 'Birgit Olafsdottir'}
Dayna Gizzo,{'The Sopranos': 'Rita'}
Richard D'Alessandro,{'The Sopranos': 'Dennis Capozza'}
Ryan Hoffman,{'The Sopranos': 'Jason Malatesta'}
Robert John Burke,{'The Sopranos': 'Officer Zmuida'}
John Pleshette,{'The Sopranos': 'Dr. Ira Fried'}
Rob Devaney,{'The Sopranos': 'Bob Brewster'}
Christopher McDonald,{'The Sopranos': 'Eddie Dunne'}
Charley Morgan,{'The Sopranos': 'Professor Brian Lynch'}
Julie Mangini,{'The Sopranos': 'Julie Mangini'}
Patrena Murray,{'The Sopranos': 'Mercedes'}
Candace Bailey,{'The Sopranos': 'Deena Hauser'}
Harvey Levin,{'The Sopranos': 'Talk Show Host'}
Siberia M. Federico,{'The Sopranos': 'Irina Peltsin'}
Olivia Zaro,"{'The Sopranos': ""Peters' Daughter""}"
William Conn,{'The Sopranos': 'Old Man'}
Rob Grippa,{'The Sopranos': 'Byron Barber'}
Tom Cappadona,{'The Sopranos': 'Daniel King'}
Michael Broughton,{'The Sopranos': 'Protester'}
Stephen Bienskie,{'The Sopranos': 'Hotel Clerk'}
Darrell Carey,{'The Sopranos': 'Proctor'}
Brian Tarantina,{'The Sopranos': 'Mustang Sally'}
